Дата формирования:,08.07.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Период отчета:,28 дней,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Категория 3 уровня:,Пленка для ламинирования,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Название товара,Ссылка на товар,Продавец,Бренд,Категория 1 уровня,Категория 3 уровня,Признак товара,"Заказано на сумму, ₽","Динамика оборота, %","Заказано, штуки","Средняя цена, ₽","Минимальная цена, ₽","Доля выкупа, %","Упущенные продажи, ₽",Дней без остатка,"Ср. время доставки до покупателя, часы","Среднесуточные продажи, ₽","Среднесуточные продажи, штуки","Остаток на конец периода, штуки",Схема работы,"Объем товара, л",Показы всего,Просмотры в поиске и каталоге,Просмотры карточки,"Конверсия из показа в заказ, %","В корзину из поиска и каталога, %","В корзину из карточки, %",Скидка за счет акций,"Доля оборота в акциях, %",Дней в акциях,Дней с продвижением,"Доля рекламных расходов, %",Дата создания карточки товара
"Пленка для ламинирования Office Kit формат А4, толщина 150 мкм., в уп. 100 шт. PLP11223-1",https://www.ozon.ru/product/513448112,ООО «Офис Кит»,Office Kit,Электроника,Пленка для ламинирования,Super; Топ-50% по продажам,186685,54,163,1145,913,96.8,0,22 из 28,48 ч,4331,6,157,"FBO,FBS",2.3,50354,12138,3393,0.32,0.53,5.12,16.4,61.1,13 из 28,24 из 28,4.8,2022-03-03
"Пленка для ламинирования Office Kit формат А3, толщина 100 мкм., упаковка 100 шт.",https://www.ozon.ru/product/514070823,ООО «Офис Кит»,Office Kit,Электроника,Пленка для ламинирования,Super; Топ-50% по продажам,159471,34,111,1437,1126,94.2,0,24 из 28,54 ч,3719,4,147,"FBO,FBS",5.9,13657,4686,569,0.81,1.3,15.81,16,64.7,14 из 28,0 из 28,2.3,2022-03-04
"Пленка для ламинирования Office Kit формат А3, толщина 125 мкм., упаковка 100 шт.",https://www.ozon.ru/product/514123340,ООО «Офис Кит»,Office Kit,Электроника,Пленка для ламинирования,Super; Топ-50% по продажам,129543,38,75,1727,1508,95,0,22 из 28,44 ч,3271,3,4,"FBO,FBS",3.5,8257,2890,332,0.91,0.93,13.55,14.9,52.1,14 из 28,0 из 28,0.8,2022-03-04
"Пленка LOMOND для черно-белых и цветных лазерных принтеров, самоклеящаяся, прозрачная, 80 мкм, А4, 25 шт., 2800003",https://www.ozon.ru/product/522694368,ИП Полонский Дмитрий Валентинович,Lomond,Электроника,Пленка для ламинирования,Super; Топ-50% по продажам,41600,16,16,2600,2600,100,0,28 из 28,75 ч,1098,1,3,FBO,1.5,580,321,8,2.76,0.62,12.5,0,0,1 из 28,0 из 28,0,2022-03-14
"Пленка для ламинирования deVENTE, А4, 100 мкм, 100 листов",https://www.ozon.ru/product/531736559,Канцбюро,deVENTE,Электроника,Пленка для ламинирования,,989,Нет данных,1,989,989,100,0,0 из 28,28 ч,22,0,5,FBS,1.4,484,359,16,0.21,0,6.25,5.8,100,8 из 28,0 из 28,0,2022-03-23
Голографический ламинат Россия Russia 10шт.,https://www.ozon.ru/product/547141183,ГолограммыРу,без бренда,Электроника,Пленка для ламинирования,,12297,200,3,4099,4099,100,0,28 из 28,50 ч,337,0,5,FBS,0.5,640,212,67,0.47,0.47,7.46,0,0,4 из 28,0 из 28,0,2022-04-06
Голографический ламинат РФ 10шт.,https://www.ozon.ru/product/547536893,ГолограммыРу,без бренда,Электроника,Пленка для ламинирования,,5674,86,2,2837,2625,100,0,0 из 28,28 ч,63,0,1,FBS,0.5,661,271,39,0.3,0.36,12.82,13.9,46.3,18 из 28,0 из 28,0,2022-04-07
Конверт защитный для ламинирования 224x287мм малый,https://www.ozon.ru/product/553215401,Alfa Computer,без бренда,Электроника,Пленка для ламинирования,,2628,-42,3,876,862,100,0,28 из 28,50 ч,62,0,10,FBS,3.6,911,309,47,0.33,0.32,10.63,0,0,0 из 28,0 из 28,0,2022-04-12
Пленка для ламинирования рулонная глянцевая 305мм  32мкм 200м,https://www.ozon.ru/product/569183326,Alfa Computer,без бренда,Электроника,Пленка для ламинирования,,2882,Нет данных,1,2882,2882,Нет данных,0,-,-,0,0,4,FBS,5.6,523,131,37,0.19,0,8.1,0,0,0 из 28,0 из 28,0,2022-04-26
"Пленка для ламинирования Office Kit формат А3, толщина 60 мкм., упаковка 100 шт.",https://www.ozon.ru/product/578126217,ООО «Офис Кит»,Office Kit,Электроника,Пленка для ламинирования,Super,25346,147,25,1014,976,100,0,26 из 28,75 ч,624,1,5,FBS,3,4004,696,226,0.62,1.86,7.52,14,82.5,14 из 28,0 из 28,0,2022-05-05
"Пленка для ламинирования Office Kit формат А3, толщина 75 мкм., упаковка 100 шт.",https://www.ozon.ru/product/578138780,ООО «Офис Кит»,Office Kit,Электроника,Пленка для ламинирования,Super; Топ-50% по продажам,118155,16,106,1115,886,93.1,0,24 из 28,61 ч,2915,4,20,"FBO,FBS",3,31627,10803,707,0.34,0.77,9.75,15.7,59.4,15 из 28,0 из 28,49.3,2022-05-05
"Пленка для ламинирования глянцевая WF, 250 мкм, 85х120 мм, 100шт",https://www.ozon.ru/product/578424574,РеалИСТ,WF,Электроника,Пленка для ламинирования,,960,Нет данных,2,480,480,100,0,28 из 28,45 ч,13,0,113,FBS,0.6,351,182,8,0.57,0,50,9.3,100,23 из 28,0 из 28,0,2022-05-05
"Пленка для ламинирования глянцевая WF, 100 мкм, 80х110 мм, 100шт",https://www.ozon.ru/product/578431625,РеалИСТ,WF,Электроника,Пленка для ламинирования,,274,-89,1,274,274,Нет данных,0,28 из 28,60 ч,8,0,250,FBS,0.2,786,416,30,0.13,0,6.66,0,0,5 из 28,0 из 28,0,2022-05-05
"Пленка для ламинирования глянцевая LF, 75 мкм, 85х120 мм, 100шт",https://www.ozon.ru/product/578432315,РеалИСТ,LF,Электроника,Пленка для ламинирования,,2187,Нет данных,9,243,243,100,0,28 из 28,90 ч,61,0,250,FBS,0.2,619,396,36,1.45,0.25,5.55,0,0,4 из 28,0 из 28,0,2022-05-05
"Пленка для ламинирования глянцевая WF, 80 мкм, 80х110 мм, 100шт",https://www.ozon.ru/product/578457577,РеалИСТ,WF,Электроника,Пленка для ламинирования,,1190,-51,5,238,229,100,0,14 из 28,57 ч,22,0,250,FBS,0.2,770,419,36,0.65,0,8.33,10.9,38.5,5 из 28,0 из 28,0,2022-05-05
"Пленка для ламинирования глянцевая WF, 75 мкм, 80х110 мм, 100шт",https://www.ozon.ru/product/578457596,РеалИСТ,WF,Электроника,Пленка для ламинирования,,696,-58,3,232,232,100,0,0 из 28,28 ч,17,0,0,FBO,0.2,1556,704,69,0.19,0.56,4.34,0,0,5 из 28,0 из 28,0,2022-05-05
"Пленка для ламинирования глянцевая LF, 80 мкм, 111х154 мм, 100шт",https://www.ozon.ru/product/578492510,РеалИСТ,LF,Электроника,Пленка для ламинирования,,762,-10,2,381,381,Нет данных,0,28 из 28,45 ч,49,0,250,FBS,0.4,680,305,29,0.29,0,3.44,10.1,100,23 из 28,0 из 28,0,2022-05-05
"Пленка для ламинирования глянцевая WF, 100 мкм, 100х146 мм, 100шт",https://www.ozon.ru/product/578496010,РеалИСТ,WF,Электроника,Пленка для ламинирования,,1072,33,4,268,268,75,0,14 из 28,33 ч,30,0,79,FBS,0.4,583,342,34,0.69,0.29,2.94,0,0,5 из 28,0 из 28,0,2022-05-05
"Пленка для ламинирования глянцевая WF, 125 мкм, 80х110 мм, 100шт",https://www.ozon.ru/product/578496910,РеалИСТ,WF,Электроника,Пленка для ламинирования,,2900,466,10,290,290,88.8,0,28 из 28,77 ч,68,0,250,FBS,0.3,1014,410,48,0.99,0.24,12.5,0,0,5 из 28,0 из 28,0,2022-05-05
"Пленка для ламинирования глянцевая WF, 200 мкм, 80х110 мм, 100шт",https://www.ozon.ru/product/578497008,РеалИСТ,WF,Электроника,Пленка для ламинирования,,373,-91,1,373,373,100,0,28 из 28,45 ч,10,0,33,FBS,0.4,595,320,18,0.17,0,5.55,0,0,5 из 28,0 из 28,0,2022-05-05
"Пленка для ламинирования глянцевая WF, 175 мкм, 85х120 мм, 100шт",https://www.ozon.ru/product/578498114,РеалИСТ,WF,Электроника,Пленка для ламинирования,,776,0,2,388,388,100,0,0 из 28,28 ч,20,0,41,FBS,0.4,506,300,14,0.4,0,14.28,0,0,5 из 28,0 из 28,0,2022-05-05
"Голографический ламинат ""Динамические квадраты"" 2шт.",https://www.ozon.ru/product/584731038,ГолограммыРу,без бренда,Электроника,Пленка для ламинирования,Super,2265,109,2,1133,1053,100,0,28 из 28,0 ч,27,0,2,"FBO,FBS",0.5,2571,464,58,0.08,0.64,5.17,15.7,46.5,24 из 28,0 из 28,0,2022-05-12
Пленка для ламинирования Office Kit PLP10640 A2 100мкм (100шт),https://www.ozon.ru/product/595294792,Позитроника,Office Kit,Электроника,Пленка для ламинирования,,2490,-75,1,2490,2490,100,0,0 из 28,0 ч,0,0,5,"FBO,FBS",4,577,289,23,0.17,0.34,13.04,32,100,6 из 28,0 из 28,0,2022-05-24
Голографический ламинат гарантия подлинности 2шт.,https://www.ozon.ru/product/601058444,ГолограммыРу,без бренда,Электроника,Пленка для ламинирования,,2498,Нет данных,2,1249,1249,100,0,14 из 28,89 ч,71,0,5,FBS,0.5,856,223,49,0.23,0.44,2.04,0,0,0 из 28,0 из 28,0,2022-05-30
"Плёнка для ламинирования рулонная матовая 330мм x 30мкн x 300м, 1"" (PiPitex) Мatt",https://www.ozon.ru/product/608168712,МОнлайн,Peach,Электроника,Пленка для ламинирования,,4004,7,2,2002,2002,100,0,28 из 28,60 ч,95,0,5,FBS,13.8,1124,357,43,0.18,0,9.3,0,0,0 из 28,0 из 28,0,2022-06-06
"Плёнка для ламинирования пакетная A4, 216 х 303 мм х 250 mic (Yu), 100шт.",https://www.ozon.ru/product/608195841,МОнлайн,Peach,Электроника,Пленка для ламинирования,,1959,0,1,1959,1959,Нет данных,0,28 из 28,75 ч,58,0,4,FBS,1.6,331,278,3,0.3,0,33.33,0,0,0 из 28,0 из 28,0,2022-06-06
"Пленка для ламинирования глянцевая LF, 80 мкм, 100х146 мм, 100шт",https://www.ozon.ru/product/615593359,РеалИСТ,LF,Электроника,Пленка для ламинирования,,306,Нет данных,1,306,306,100,0,-,-,0,0,36,FBS,0.3,236,161,1,0.42,0,100,0,0,0 из 28,0 из 28,0,2022-06-14
Пленка для ламинирования Cactus А4(216x303 мм.) 80 мкм. 25 шт. CS-LPGA48025,https://www.ozon.ru/product/615949835,Фоксмарт,Cactus,Электроника,Пленка для ламинирования,,12309,229,33,373,373,84.8,0,24 из 28,53 ч,257,1,15,"FBO,FBS",1.7,11653,5051,636,0.28,0.45,6.28,3.8,100,28 из 28,0 из 28,24.1,2022-06-14
Пленка для ламинирования Cactus CS-LPGA7125100 А7(75x105 мм.) - 100 шт.,https://www.ozon.ru/product/615951268,Фоксмарт,Cactus,Электроника,Пленка для ламинирования,,1640,141,5,328,328,100,0,28 из 28,45 ч,49,0,6,FBS,0.7,1643,784,172,0.3,0.51,1.74,3.5,100,13 из 28,0 из 28,17.5,2022-06-14
Пленка для ламинирования Cactus 125мкм (100шт) глянцевая 80x111мм CS-LPG80111125,https://www.ozon.ru/product/615952307,Фоксмарт,Cactus,Электроника,Пленка для ламинирования,,1610,129,5,322,280,100,0,14 из 28,39 ч,37,0,2,FBO,0.7,2573,1440,189,0.19,0.34,4.23,7,80.6,13 из 28,0 из 28,20.6,2022-06-14
Пленка для ламинирования Cactus А5(154x216 мм.) 80 мкм. 100 шт. CS-LPGA580100,https://www.ozon.ru/product/615961914,Фоксмарт,Cactus,Электроника,Пленка для ламинирования,,1656,50,3,552,549,100,0,19 из 28,45 ч,39,0,6,FBO,0.1,1065,516,117,0.28,0.58,2.56,1.6,66.3,13 из 28,0 из 28,3.9,2022-06-14
Пленка для ламинирования Cactus А4(216x303 мм.) 125 мкм. 100 шт. CS-LPGA4125100,https://www.ozon.ru/product/615968303,Фоксмарт,Cactus,Электроника,Пленка для ламинирования,,6915,79,6,1153,1142,100,0,21 из 28,45 ч,190,0,2,FBO,1.7,1234,526,143,0.49,0,6.29,2.4,82.6,21 из 28,0 из 28,0.1,2022-06-14
Пленка для ламинирования Cactus А4(216x303 мм.) 75мкм. 25 шт. CS-LPGA47525,https://www.ozon.ru/product/615968638,Фоксмарт,Cactus,Электроника,Пленка для ламинирования,,3036,-38,8,380,373,100,0,10 из 28,31 ч,72,0,4,FBO,1.7,5094,3150,307,0.16,0.22,4.56,3.4,49.1,13 из 28,0 из 28,35.2,2022-06-14
Пленка для ламинирования Cactus А4(216x303 мм.) 100 мкм. 100 шт. CS-LPGA4100100,https://www.ozon.ru/product/615969907,Фоксмарт,Cactus,Электроника,Пленка для ламинирования,,4809,62,5,962,946,100,0,28 из 28,78 ч,90,0,4,FBO,1.3,1628,618,186,0.31,0,5.91,3.4,39.3,13 из 28,0 из 28,0.1,2022-06-14
Пленка для ламинирования Cactus А4(216x303 мм.) 75 мкм. 100 шт. CS-LPGA475100,https://www.ozon.ru/product/615971929,Фоксмарт,Cactus,Электроника,Пленка для ламинирования,,1582,-80,2,791,777,100,0,14 из 28,52 ч,38,0,9,FBO,0.5,1482,616,156,0.14,0.16,3.84,3.5,49.1,13 из 28,0 из 28,0,2022-06-14
Пленка для ламинирования Cactus А4(216x303 мм.) 60 мкм. 100 шт. CS-LPGA460100,https://www.ozon.ru/product/615985429,Фоксмарт,Cactus,Электроника,Пленка для ламинирования,,1223,-89,2,612,550,100,0,14 из 28,39 ч,40,0,4,"FBO,FBS",0.3,2187,1102,178,0.09,0.45,4.49,18.3,45,13 из 28,0 из 28,19.2,2022-06-14
"Плёнка для ламинирования рулонная 350мм x 30мкн x 300м, 1"" (PiPitex)",https://www.ozon.ru/product/616575245,МОнлайн,MOONPEACH,Электроника,Пленка для ламинирования,,1972,-75,1,1972,1972,100,0,28 из 28,60 ч,49,0,10,FBS,3.7,358,164,13,0.28,0,7.69,0,0,0 из 28,0 из 28,0,2022-06-15
"Пленка для ламинирования / ламинации документов, сертификатов, грамот формата А4, глянцевая, комплект 100 шт, 75 мкм, Silwerhof",https://www.ozon.ru/product/624498564,Позитроника,Silwerhof,Электроника,Пленка для ламинирования,,6450,61,8,806,750,100,0,7 из 28,31 ч,158,0,35,FBO,1.1,10630,4632,167,0.08,0.06,7.18,33.9,100,28 из 28,4 из 28,35.7,2022-06-23
Конверт защитный для ламинирования 303x426мм большой,https://www.ozon.ru/product/627650967,Alfa Computer,без бренда,Электроника,Пленка для ламинирования,,2320,Нет данных,2,1160,1160,Нет данных,0,28 из 28,105 ч,63,0,2,FBS,2.8,379,120,16,0.53,0,6.25,0,0,0 из 28,0 из 28,0,2022-06-27
Пленка для ламинирования Cactus А4(216x303 мм.) 100 мкм. 25 шт. CS-LPGA410025,https://www.ozon.ru/product/628763519,Фоксмарт,Cactus,Электроника,Пленка для ламинирования,,8624,-45,21,411,333,100,0,22 из 28,47 ч,198,1,20,"FBO,FBS",1.9,7777,3984,457,0.27,0.27,6.78,4.6,57.2,13 из 28,0 из 28,14.2,2022-06-28
Пленка для ламинирования Cactus А4(216x303 мм.) 125 мкм. 25 шт. CS-LPGA412525,https://www.ozon.ru/product/628765066,Фоксмарт,Cactus,Электроника,Пленка для ламинирования,,1885,92,4,471,436,100,0,21 из 28,55 ч,42,0,9,FBO,2.2,3188,2083,187,0.13,0.19,2.67,8.6,46.3,21 из 28,0 из 28,22,2022-06-28
Пленка для ламинирования Cactus А4(216x303 мм.) 80 мкм. 100 шт. CS-LPGA480100,https://www.ozon.ru/product/628767436,Фоксмарт,Cactus,Электроника,Пленка для ламинирования,,14583,35,19,768,680,100,0,24 из 28,53 ч,298,1,6,FBS,0.5,2187,816,199,0.87,0.49,7.03,8.8,100,28 из 28,0 из 28,0.1,2022-06-28
Пленка для ламинирования Cactus 100мкм (100шт) глянцевая 65x95мм CS-LPG6595100,https://www.ozon.ru/product/628770153,Фоксмарт,Cactus,Электроника,Пленка для ламинирования,Топ-50% по продажам,24003,101,82,293,253,71.1,0,21 из 28,50 ч,457,2,0,"FBO,FBS",0.6,15988,5112,969,0.51,0.93,8.66,0,0,0 из 28,0 из 28,28.1,2022-06-28
Голографический ламинат Россия Russia 2шт.,https://www.ozon.ru/product/643143989,ГолограммыРу,без бренда,Электроника,Пленка для ламинирования,,8245,-46,5,1649,1649,80,0,0 из 28,28 ч,209,0,5,FBO,0.5,2895,617,221,0.17,0.16,5.42,0,0,0 из 28,0 из 28,0,2022-07-14
"Плёнка для ламинирования в рулоне (для рулонных ламинаторов) матовая, толщина 75 мкм, ширина 305 мм, длина 100 метров, диаметр втулки 25 мм",https://www.ozon.ru/product/646329917,ООО «Офис Кит»,без бренда,Электроника,Пленка для ламинирования,,4038,Нет данных,1,4038,4038,100,0,28 из 28,75 ч,94,0,5,FBO,3.9,648,225,32,0.15,0,6.25,15.6,100,17 из 28,0 из 28,0,2022-07-19
Пленка для ламинирования velvet/soft touch 330 мм х 34 мкм х 100 м в рулоне,https://www.ozon.ru/product/647431339,Таймер,без бренда,Электроника,Пленка для ламинирования,Лидер по продажам,236295,16,87,2716,2430,92.9,0,20 из 28,37 ч,5503,3,6,FBO,3.3,8866,1955,609,0.98,1.58,9.03,16.5,100,28 из 28,0 из 28,0,2022-07-20
Пленка для ламинирования глянцевая 305 мм х 27-30 мкм х 300 м в рулоне,https://www.ozon.ru/product/648621334,Таймер,без бренда,Электроника,Пленка для ламинирования,Super,27303,1,13,2100,1975,92.3,0,1 из 28,31 ч,806,1,1,FBO,5.2,3048,881,135,0.43,1.7,12.59,0,0,2 из 28,0 из 28,0,2022-07-21
Пленка для ламинирования матовая 305 мм х 27-30 мкм х 300 м в рулоне,https://www.ozon.ru/product/648691393,Таймер,без бренда,Электроника,Пленка для ламинирования,Super,47912,16,24,1996,1812,95.8,0,16 из 28,35 ч,1251,1,7,FBO,3.2,3505,1176,181,0.69,0.68,10.49,15.7,37.8,10 из 28,0 из 28,0,2022-07-21
Пленка для ламинирования глянцевая 330 мм х 25-27 мкм х 300 м в рулоне,https://www.ozon.ru/product/648771782,Таймер,без бренда,Электроника,Пленка для ламинирования,Super; Топ-50% по продажам,42668,-15,20,2133,1954,88.8,0,17 из 28,44 ч,960,1,0,FBO,5.7,2272,673,94,0.88,0.89,10.63,9.9,13.7,2 из 28,0 из 28,0,2022-07-21
"Плёнка для ламинирования пакетная A7, 80 x 111 мм x 75 mic (Yu), 100шт.",https://www.ozon.ru/product/651238379,МОнлайн,Peach,Электроника,Пленка для ламинирования,,330,Нет данных,1,330,330,100,0,28 из 28,60 ч,9,0,3,FBS,0.3,253,166,8,0.4,0,12.5,0,0,4 из 28,0 из 28,0,2022-07-23
Голографический ламинат Россия Russia 5шт.,https://www.ozon.ru/product/652268704,ГолограммыРу,без бренда,Электроника,Пленка для ламинирования,Super,5098,0,2,2549,2549,50,0,14 из 28,37 ч,128,0,5,"FBO,FBS",0.4,722,264,77,0.28,0.75,2.59,0,0,0 из 28,0 из 28,0,2022-07-25
Голографический ламинат Россия Russia 20шт.,https://www.ozon.ru/product/652277780,ГолограммыРу,без бренда,Электроника,Пленка для ламинирования,Топ-50% по продажам,13998,Нет данных,2,6999,6999,100,0,28 из 28,60 ч,372,0,2,FBS,0.5,431,117,65,0.46,0,4.61,0,0,0 из 28,0 из 28,0,2022-07-25
Пленка для ламинирования пакетная STARBIND 216х303 A4 (100 мик) 100 шт.,https://www.ozon.ru/product/657778739,OFFICESHOP,StarBind,Электроника,Пленка для ламинирования,,841,Нет данных,1,841,841,100,0,0 из 28,28 ч,22,0,1608,FBS,0.7,367,267,18,0.27,0,11.11,0,0,6 из 28,0 из 28,0,2022-08-01
Пленка для ламинирования пакетная STARBIND 216х303 A4 (125 мик) 100 шт.,https://www.ozon.ru/product/658068427,OFFICESHOP,StarBind,Электроника,Пленка для ламинирования,,1326,-18,2,663,663,100,0,0 из 28,28 ч,34,0,1157,FBS,0.8,644,353,39,0.31,0.28,7.69,31.5,100,11 из 28,0 из 28,0,2022-08-01
"Пленка для ламинирования OfficeSpace А8, 65х95 мм, 75 мкм, глянец, 100 листов (LF8775)",https://www.ozon.ru/product/667018336,Юмитой,OfficeSpace,Электроника,Пленка для ламинирования,,5280,Нет данных,12,440,440,100,0,-,-,0,0,20,FBS,0.1,88,73,2,13.64,0,50,0,0,0 из 28,0 из 28,0,2022-08-10
"Пленка для ламинирования ГЕЛЕОС LPA4-60, A4, 60 мкм глянцевая",https://www.ozon.ru/product/688338161,Getsy,ГЕЛЕОС,Электроника,Пленка для ламинирования,,660,Нет данных,1,660,660,100,0,-,-,0,0,37,FBS,1,492,309,21,0.2,0.97,4.76,0,0,0 из 28,0 из 28,0,2022-08-25
Фольга золото глянец тиснение 12-13 см*120м,https://www.ozon.ru/product/706583328,Alfa Computer,без бренда,Электроника,Пленка для ламинирования,,6430,156,5,1286,1244,80,0,28 из 28,60 ч,71,0,8,FBS,2.6,1247,394,51,0.4,0.5,13.72,0,0,0 из 28,0 из 28,0,2022-09-09
"Обложки для переплета, А4, пластиковые, текстура гладкая, 150 мкм, полупрозрачные, 100 шт",https://www.ozon.ru/product/712919815,Комус,без бренда,Электроника,Пленка для ламинирования,,20558,-85,27,761,707,100,0,16 из 28,38 ч,416,1,251,FBO,1.2,7716,2798,292,0.35,0.78,9.58,3.7,3.4,7 из 28,0 из 28,0,2022-09-14
"Пленка для ламинирования глянцевая LF, 125 мкм, 85х120 мм, 100шт",https://www.ozon.ru/product/714269561,РеалИСТ,LF,Электроника,Пленка для ламинирования,,286,Нет данных,1,286,286,100,0,0 из 28,28 ч,8,0,250,FBS,0.3,266,218,6,0.38,0,16.66,0,0,0 из 28,0 из 28,0,2022-09-15
"Плёнка матовая Bulros A4, 60 мкм, для ламинирования пакетная 100 шт (216х303 мм)",https://www.ozon.ru/product/727935719,1digital,Bulros,Электроника,Пленка для ламинирования,,1987,Нет данных,1,1987,1987,100,0,28 из 28,105 ч,49,0,10,FBS,1,323,124,12,0.31,0.8,8.33,3,100,17 из 28,0 из 28,0,2022-09-28
"Плёнка для ламинирования А4 ""deVENTE"" 100 мкм 100 шт. (216*303 мм.)",https://www.ozon.ru/product/729282110,Деловой Стиль,deVENTE,Электроника,Пленка для ламинирования,Super,22736,146,21,1083,1026,100,0,28 из 28,78 ч,876,1,1524,FBS,2.7,1185,497,26,1.77,0.2,11.53,0,0,0 из 28,0 из 28,0,2022-09-29
"Плёнка для ламинирования А4 ""deVENTE"" 75 мкм 100 шт. (216*303 мм.)",https://www.ozon.ru/product/730042808,Деловой Стиль,deVENTE,Электроника,Пленка для ламинирования,,964,15,1,964,964,Нет данных,0,0 из 28,0 ч,0,0,496,FBS,2.7,684,347,18,0.15,0,5.55,0,0,0 из 28,0 из 28,0,2022-09-30
"Плёнка Bulros A6 (111х154 мм) 250 мкм для ламинирования, глянцевая, 100 шт",https://www.ozon.ru/product/737649389,1digital,Bulros,Электроника,Пленка для ламинирования,,886,-9,1,886,886,100,0,0 из 28,28 ч,21,0,50,FBS,0.9,250,161,5,0.4,0,20,14.1,100,28 из 28,0 из 28,0,2022-10-07
"Плёнка матовая Bulros A5,100 мкм, для ламинирования, 100 шт (154х216 мм)",https://www.ozon.ru/product/749900215,1digital,Bulros,Электроника,Пленка для ламинирования,,1458,7,1,1458,1458,100,0,28 из 28,0 ч,36,0,50,FBS,0.8,336,168,18,0.3,0,5.55,9.5,100,28 из 28,0 из 28,0,2022-10-17
"Плёнка матовая Bulros A5, 80 мкм, для ламинирования пакетная, 100 шт (154х216 мм)",https://www.ozon.ru/product/749924740,1digital,Bulros,Электроника,Пленка для ламинирования,,2544,99,2,1272,1272,100,0,28 из 28,53 ч,68,0,50,FBS,0.7,627,312,32,0.32,0.32,12.5,9.5,100,28 из 28,0 из 28,0,2022-10-17
"Плёнка для ламинирования А3 ""deVENTE"" 80 мкм 100 листов (303x426 мм.) / Плёнка для ламинации документов",https://www.ozon.ru/product/761162658,Деловой Стиль,deVENTE,Электроника,Пленка для ламинирования,,1619,-44,1,1619,1619,100,0,0 из 28,0 ч,0,0,33,FBS,3.9,602,321,32,0.17,0.62,6.25,0,0,0 из 28,0 из 28,0,2022-10-25
"Рулонная плёнка для ламинирования Bulros (330 мм х 100 м) 75 мкм глянцевая, втулка 25 мм, трехслойная PET 38/17/20",https://www.ozon.ru/product/764403549,1digital,Bulros,Электроника,Пленка для ламинирования,Super; Топ-50% по продажам,36827,69,13,2833,2807,100,0,21 из 28,47 ч,968,0,2,FBS,3.6,1040,469,69,1.25,0.42,10.14,0,0,3 из 28,0 из 28,0,2022-10-27
"Рулонная плёнка для ламинирования Bulros (330 мм х 100 м) 125 мкм глянцевая, втулка 25 мм, трехслойная PET 38/17/20",https://www.ozon.ru/product/764486054,1digital,Bulros,Электроника,Пленка для ламинирования,,9054,-29,2,4527,4527,100,0,28 из 28,75 ч,233,0,3,FBS,5.6,750,266,69,0.27,1.12,4.34,0,0,4 из 28,0 из 28,0,2022-10-27
"Рулонная плёнка для ламинирования Bulros (330 мм х 200 м) 25 мкм глянцевая, втулка 25 мм, PET12/EVA30",https://www.ozon.ru/product/764516251,1digital,Bulros,Электроника,Пленка для ламинирования,,13270,203,6,2212,2189,100,0,21 из 28,60 ч,264,0,3,FBS,2.4,698,341,33,0.86,0,12.12,3,66,17 из 28,0 из 28,0,2022-10-27
"Рулонная плёнка для ламинирования Bulros (305 мм х 100 м) 75 мкм глянцевая, втулка 25 мм, трехслойная PET38/PE17/EVA20",https://www.ozon.ru/product/766016535,1digital,Bulros,Электроника,Пленка для ламинирования,Super; Топ-50% по продажам,63118,148,23,2744,2726,100,0,23 из 28,58 ч,1766,1,1,FBS,3.4,1702,498,124,1.35,1.2,4.83,3,77.7,6 из 28,0 из 28,0,2022-10-28
"Рулонная плёнка для ламинирования Bulros (305 мм х 150 м) 32 мкм глянцевая, втулка 25 мм, двухслойная PET12/EVA20",https://www.ozon.ru/product/766029658,1digital,Bulros,Электроника,Пленка для ламинирования,Super,20555,-15,11,1869,1860,81.8,0,21 из 28,45 ч,651,1,4,FBS,2,1950,521,108,0.56,0.38,6.48,4.1,90.5,17 из 28,0 из 28,0,2022-10-28
"Рулонная плёнка для ламинирования Bulros (305 мм х 150 м) 42 мкм глянцевая, втулка 25 мм, двухслойная PET12/EVA30",https://www.ozon.ru/product/781920359,1digital,Bulros,Электроника,Пленка для ламинирования,,4880,-31,2,2440,2440,100,0,14 из 28,28 ч,122,0,28,FBS,2.8,447,159,49,0.45,0.62,2.04,0,0,1 из 28,0 из 28,0,2022-11-08
"Рулонная плёнка для ламинирования Bulros (305 мм х 50 м) 250 мкм глянцевая, втулка 25 мм, трехслойная PET150/PE40/EVA60",https://www.ozon.ru/product/782261759,1digital,Bulros,Электроника,Пленка для ламинирования,,4022,0,1,4022,4022,100,0,28 из 28,90 ч,106,0,19,FBS,5.2,514,159,40,0.2,0.62,5,4.3,100,17 из 28,0 из 28,0,2022-11-08
"Рулонная плёнка для ламинирования Bulros (305 мм х 50м) 200 мкм глянцевая, втулка 25 мм, трехслойная PET125/PE30/EVA45",https://www.ozon.ru/product/782273710,1digital,Bulros,Электроника,Пленка для ламинирования,,3508,-80,1,3508,3508,100,0,28 из 28,45 ч,88,0,13,FBS,4,504,235,48,0.2,0,4.16,0,0,2 из 28,0 из 28,0,2022-11-08
