Дата формирования:,08.07.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Период отчета:,28 дней,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Категория 3 уровня:,Пленка для ламинирования,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Название товара,Ссылка на товар,Продавец,Бренд,Категория 1 уровня,Категория 3 уровня,Признак товара,"Заказано на сумму, ₽","Динамика оборота, %","Заказано, штуки","Средняя цена, ₽","Минимальная цена, ₽","Доля выкупа, %","Упущенные продажи, ₽",Дней без остатка,"Ср. время доставки до покупателя, часы","Среднесуточные продажи, ₽","Среднесуточные продажи, штуки","Остаток на конец периода, штуки",Схема работы,"Объем товара, л",Показы всего,Просмотры в поиске и каталоге,Просмотры карточки,"Конверсия из показа в заказ, %","В корзину из поиска и каталога, %","В корзину из карточки, %",Скидка за счет акций,"Доля оборота в акциях, %",Дней в акциях,Дней с продвижением,"Доля рекламных расходов, %",Дата создания карточки товара
"Пленки-заготовки для ламинирования Brauberg малого формата, (65х95 мм), комплект 100 штук, 75 мкм (531791)",https://www.ozon.ru/product/1630722269,НУТЧ,Brauberg,Электроника,Пленка для ламинирования,,1144,Нет данных,2,572,572,Нет данных,4457,28 из 28,60 ч,186,1,0,FBS,0.3,13,10,1,15.39,0,100,0,0,0 из 28,0 из 28,0,2024-07-17
"Пленка глянцевая, листы для ламинирования 100x146 мм, толщина 100 мкм, 100 л",https://www.ozon.ru/product/1271255375,deVENTE,deVENTE,Электроника,Пленка для ламинирования,Топ-50% по продажам,29489,525,148,199,145,90.5,4446,27 из 28,49 ч,889,6,0,FBO,0.2,30500,6512,1253,0.49,1.48,15.96,3.8,0.8,2 из 28,0 из 28,13.3,2023-11-02
"Плёнка для ламинирования пакетная матовая A4, 216 х 303 мм х 75 mic (Yu) Matt, 100шт",https://www.ozon.ru/product/608168124,МОнлайн,Peach,Электроника,Пленка для ламинирования,,9541,138,7,1363,1357,100,4183,24 из 28,47 ч,418,0,4,FBS,1.6,1132,591,49,0.62,1.18,22.44,0,0,0 из 28,0 из 28,0,2022-06-06
Пленка для ламинирования А4 125 мкм 100 штук,https://www.ozon.ru/product/2293353079,"ООО ""АРВАДА""",без бренда,Электроника,Пленка для ламинирования,Super,187757,208,190,988,883,95,3962,26 из 28,54 ч,3963,7,51,FBO,2.2,34896,26136,1232,0.54,0.64,14.93,29.4,100,28 из 28,0 из 28,5.6,2025-06-14
Пленка для ламинирования глянцевая 75x105 мм 100 мкм,https://www.ozon.ru/product/1247265607,deVENTE,deVENTE,Электроника,Пленка для ламинирования,,454,-94,2,227,227,100,3811,28 из 28,68 ч,147,1,0,FBO,0.2,821,54,20,0.24,0,5,0,0,1 из 28,0 из 28,0,2023-10-17
"Пленка для ламинирования А6 125 мкм, ГЕЛЕОС, (111х154), 100 шт",https://www.ozon.ru/product/223291018,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,,6450,438,15,430,430,100,3517,26 из 28,42 ч,176,1,0,FBO,1.2,1505,626,110,1,0.47,11.81,0,0,2 из 28,0 из 28,0,2021-01-17
"Пленка для ламинирования А7, 100 мкм, ГЕЛЕОС, (80х111мм), 100 шт",https://www.ozon.ru/product/223294681,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,,9752,-61,34,287,263,91.1,3487,25 из 28,45 ч,349,2,0,FBO,0.2,6124,1717,315,0.56,1.39,14.6,9.3,10.8,4 из 28,0 из 28,0,2021-01-17
Пленка для ламинирования А3 75 мкм 100 шт,https://www.ozon.ru/product/2294084124,"ООО ""АРВАДА""",без бренда,Электроника,Пленка для ламинирования,Super,35100,575,27,1300,1300,92.5,3474,25 из 28,44 ч,869,1,10,FBO,4.1,6681,5333,173,0.4,0.41,8.09,0,0,0 из 28,0 из 28,2.5,2025-06-14
"Пауч для ламинирования 54х85,6 мм.",https://www.ozon.ru/product/1484776525,Проксимус,без бренда,Электроника,Пленка для ламинирования,,1800,Нет данных,1,1800,1800,100,3472,28 из 28,45 ч,193,0,0,FBS,0.6,86,32,9,1.16,0,22.22,0,0,5 из 28,0 из 28,0,2024-03-20
Пленка для ламинирования глянцевая 85х120 мм 100 штук 60 мкм,https://www.ozon.ru/product/158009286,Самсон,Brauberg,Электроника,Пленка для ламинирования,,2480,237,8,310,310,100,3409,28 из 28,75 ч,179,1,10,FBO,0.2,474,230,24,1.69,0.43,4.16,4,100,4 из 28,0 из 28,0,2019-09-03
Пленка для ламинирования матовая 330 мм х 27-30 мкм х 300 м в рулоне,https://www.ozon.ru/product/648799611,Таймер,без бренда,Электроника,Пленка для ламинирования,Super; Топ-10% по продажам,55198,-43,26,2123,1876,100,3270,23 из 28,72 ч,1635,1,6,FBO,3.5,3641,750,136,0.71,0.8,14.7,0,0,2 из 28,0 из 28,0,2022-07-21
"Пленка BRAUBERG для ламинирования (65х95 мм), 100 шт., 100 мкм (530903-4027)",https://www.ozon.ru/product/2488848341,БЭТЕЛЬ,Brauberg,Электроника,Пленка для ламинирования,,8316,Нет данных,21,396,396,95.2,3209,19 из 28,45 ч,321,1,155,FBS,0.2,531,199,20,3.96,0,10,0,0,0 из 28,0 из 28,0,2025-07-17
"Пленка для ламинирования ProMega, 80x110 мм, А7, 150 мкм, глянцевая, 100 шт",https://www.ozon.ru/product/389113231,Комус,ProMega,Электроника,Пленка для ламинирования,,4873,139,10,487,445,100,3164,25 из 28,54 ч,226,1,0,FBO,0.4,488,187,47,2.05,0,10.63,11.9,27.4,3 из 28,0 из 28,0,2021-11-16
"Пленка BRAUBERG для ламинирования , А3, 100 шт., 125 мкм (530799-4027)",https://www.ozon.ru/product/2488848540,БЭТЕЛЬ,Brauberg,Электроника,Пленка для ламинирования,,8616,Нет данных,3,2872,2872,100,3114,28 из 28,60 ч,311,0,2165,FBS,3.6,93,81,3,3.23,0,33.33,0,0,0 из 28,0 из 28,0,2025-07-17
"Плёнка для ламинирования пакетная 65 x 95 мм x 125 mic (Yu), 100шт.",https://www.ozon.ru/product/618108002,МОнлайн,Peach,Электроника,Пленка для ламинирования,,1480,Нет данных,4,370,370,100,2742,28 из 28,45 ч,137,1,0,FBS,0.2,57,26,3,7.02,0,33.33,0,0,0 из 28,0 из 28,0,2022-06-16
"Пленка для ламинирования Lamirel, А4, 125мкм, 100 шт., LA-78660",https://www.ozon.ru/product/296002038,ИП Зверев Д.Г.,Lamirel,Электроника,Пленка для ламинирования,,3797,Нет данных,3,1266,936,100,2617,23 из 28,45 ч,201,0,0,FBO,2.1,295,184,17,1.02,0,17.64,44.6,49.3,3 из 28,0 из 28,0,2021-07-28
"Пленка для ламинирования глянцевая WF, 200 мкм, А4 (216мм х 303мм), 100шт",https://www.ozon.ru/product/164860881,РеалИСТ,WF,Электроника,Пленка для ламинирования,,7316,-52,4,1829,1734,100,2515,17 из 28,45 ч,419,0,209,FBS,4,526,393,9,0.76,0.25,22.22,9.9,47.4,20 из 28,0 из 28,0,2019-12-18
"Пленка глянцевая, листы для ламинирования 85x120 мм, толщина 125 мкм, 100 л",https://www.ozon.ru/product/1271138397,deVENTE,deVENTE,Электроника,Пленка для ламинирования,Топ-50% по продажам,28381,489,144,197,146,97.2,2422,27 из 28,93 ч,808,6,0,FBO,0.2,5660,1923,526,2.54,1.61,8.74,13.5,4.4,2 из 28,0 из 28,0,2023-11-02
"Фольга тонерочувствительная Korus G-08 металик желт.золото (0,213 х 120 м)",https://www.ozon.ru/product/1528592268,МОнлайн,China Brands,Электроника,Пленка для ламинирования,,15201,-33,6,2534,2409,100,2333,28 из 28,63 ч,467,0,2,"FBO,FBS",2.5,2166,397,141,0.28,0.75,15.6,0,0,0 из 28,0 из 28,0,2024-04-05
Пленка для ламинирования глянцевая А5 100 штук 125 мкм,https://www.ozon.ru/product/158009247,Самсон,Brauberg,Электроника,Пленка для ламинирования,,11447,-69,14,818,702,81.8,2244,17 из 28,36 ч,374,1,8,FBO,1,2596,824,287,0.54,1.21,4.87,8.3,8.9,7 из 28,0 из 28,0,2019-09-03
"Пленка для ламинирования А4 OfficeSpace 216*303мм, 100 мкм, матовая, 100 листов",https://www.ozon.ru/product/1660157439,БЭТЕЛЬ,OfficeSpace,Электроника,Пленка для ламинирования,Super,13886,-62,6,2314,2310,100,2147,20 из 28,45 ч,537,0,337,FBS,2.7,3712,3039,47,0.16,0.06,17.02,12.3,100,23 из 28,0 из 28,8.4,2024-08-16
Пленка для ламинирования глянцевая А5 100 штук 75 мкм,https://www.ozon.ru/product/158009250,Самсон,Brauberg,Электроника,Пленка для ламинирования,Super,23672,-10,33,717,666,96.8,2107,19 из 28,39 ч,703,1,1,FBO,0.6,16520,11909,540,0.2,0.41,6.85,7.1,8.5,4 из 28,0 из 28,11.2,2019-09-03
"Пленка Lomond для цветных струйных принтеров, 10 штук, А4, 100 мкм, 0708411",https://www.ozon.ru/product/205072523,Самсон,Brauberg,Электроника,Пленка для ламинирования,,6006,-50,6,1001,1001,100,2104,28 из 28,50 ч,234,0,0,FBO,0.2,3221,646,108,0.19,0.3,8.33,0,0,0 из 28,0 из 28,0,2020-11-06
"Пленка для ламинирования ProMega Office, 216x303 мм, А4, 100 мкм, матовая, 100 штук",https://www.ozon.ru/product/389113247,Комус,ProMega,Электроника,Пленка для ламинирования,,11044,56,3,3681,3109,100,2098,21 из 28,55 ч,350,0,0,FBO,1.7,716,339,117,0.42,0,3.41,21.7,28.2,2 из 28,0 из 28,0,2021-11-16
Пленка для ламинирования глянцевая 70х100 мм 100 штук 60 мкм,https://www.ozon.ru/product/158009285,Самсон,Brauberg,Электроника,Пленка для ламинирования,,3537,-34,12,295,262,58.3,2057,26 из 28,57 ч,147,1,1,FBO,0.1,5242,1983,241,0.23,1.61,6.63,6.6,56.7,14 из 28,0 из 28,0,2019-09-03
"Пленка для ламинирования Orange Peel А4, толщина 75 мкм, 100 штук",https://www.ozon.ru/product/1846824696,СЛС - ПЛАСТ ООО,Orange Peel,Электроника,Пленка для ламинирования,,707,Нет данных,1,707,707,100,1936,28 из 28,60 ч,84,0,199,FBO,1.2,1073,117,159,0.09,0.85,2.51,0,0,0 из 28,0 из 28,0,2025-01-24
